                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.34376,                0.23684,                0.80633,                0.53234,                0.74085,                0.57223,                0.46372,                0.58432,                 0.2995,                0.73746,               0.005644,               0.005644,               0.005644
                     90,                0.34317,                0.23498,                0.80235,                0.71352,                 0.7747,                 0.7138,                0.56789,                0.58084,                0.29251,                0.74011,              0.0055945,              0.0055945,              0.0055945
                     91,                0.34264,                0.23352,                0.80368,                0.83097,                 0.5762,                0.70511,                0.55984,                0.56505,                0.27252,                0.73129,               0.005545,               0.005545,               0.005545
                     92,                0.34261,                0.23079,                0.80239,                0.59089,                0.76684,                0.62273,                 0.4944,                0.58111,                0.28381,                0.73604,              0.0054955,              0.0054955,              0.0054955
                     93,                0.34376,                0.23414,                0.80629,                0.57226,                0.78281,                0.61473,                0.48212,                0.58621,                0.29579,                0.73657,               0.005446,               0.005446,               0.005446
                     94,                0.34036,                0.23238,                0.80474,                 0.6416,                0.76752,                0.72209,                0.55564,                 0.5658,                0.29784,                0.73408,              0.0053965,              0.0053965,              0.0053965
                     95,                0.34142,                0.23357,                0.80465,                0.74979,                0.61982,                0.72062,                0.54704,                0.54659,                 0.2826,                0.73167,               0.005347,               0.005347,               0.005347
                     96,                 0.3349,                0.23057,                0.80462,                0.60725,                0.62188,                 0.5981,                0.48834,                 0.5465,                0.28529,                0.73139,              0.0052975,              0.0052975,              0.0052975
                     97,                0.33676,                0.22945,                0.80631,                0.59851,                0.59528,                0.58124,                0.46472,                0.58382,                0.30043,                0.73967,               0.005248,               0.005248,               0.005248
                     98,                0.33823,                0.23101,                0.80371,                0.63864,                0.77607,                0.65573,                0.53263,                0.58397,                0.29148,                0.73569,              0.0051985,              0.0051985,              0.0051985
